name,version,publisher,install_date,size_formatted,install_location
Microsoft Office OneNote MUI (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,24.06 MB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Outlook MUI (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,24.37 MB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office PowerPoint MUI (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,72.00 MB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Professional Plus 2010,14.0.4734.1000,Microsoft Corporation,,Unknown,C:\Program Files (x86)\Microsoft Office
Microsoft Office Proof (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,20.62 MB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Proof (French) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,40.93 MB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Proof (Spanish) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,24.41 MB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Proofing (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,646 KB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Publisher MUI (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,23.55 MB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Shared 64-bit MUI (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,8.96 MB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,646 KB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Shared MUI (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,39.93 MB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Shared Setup Metadata MUI (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,646 KB,C:\Program Files (x86)\Microsoft Office\
Microsoft Office Word MUI (English) 2010,14.0.4734.1000,Microsoft Corporation,2021-02-21,63.15 MB,C:\Program Files (x86)\Microsoft Office\
Microsoft OneDrive,25.194.1005.0003,Microsoft Corporation,,432.86 MB,
Microsoft Teams Meeting Add-in for Microsoft Office,1.25.04401,Microsoft,2025-04-18,31.78 MB,
Microsoft Update Health Tools,3.74.0.0,Microsoft Corporation,2023-11-11,1.03 MB,
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,10.0.40219,Microsoft Corporation,2021-03-08,914 KB,
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,10.0.40219,Microsoft Corporation,2021-03-08,730 KB,
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,11.0.61030.0,Microsoft Corporation,,20.52 MB,
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,11.0.61030.0,Microsoft Corporation,,17.38 MB,
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030,11.0.61030,Microsoft Corporation,2021-02-25,11.98 MB,
